tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Biology,1270,University of Maryland,Ricardo,,Araneda,1232491,10,average,TEACHER,PROFESSOR,3.0
Agricultural & Resource Economics,1270,University of Maryland,James,,Archsmith,2657399,2,good,TEACHER,PROFESSOR,5.0
Geology,1270,University of Maryland,Ricardo,,Arevalo,2367312,3,good,TEACHER,PROFESSOR,3.7
Sociology,1270,University of Maryland,Elizabeth,,Arias,1323551,2,good,TEACHER,PROFESSOR,4.0
Political Science,1270,University of Maryland,Trinidad,,Ariztia,1582833,1,good,TEACHER,PROFESSOR,5.0
Biology,1270,University of Maryland,Earline,,Armstrong,744047,6,good,TEACHER,PROFESSOR,4.5
French,1270,University of Maryland,Cybele,,Arnaud,1726581,1,poor,TEACHER,PROFESSOR,1.5
English,1270,University of Maryland,Mark,,Arnold,942902,3,poor,TEACHER,PROFESSOR,1.7
English,1270,University of Maryland,Elizabeth,,Arnold,765509,4,average,TEACHER,PROFESSOR,3.4
Economics,1270,University of Maryland,Boragan,,Arouba,1202991,2,good,TEACHER,PROFESSOR,3.8
Physics,1270,University of Maryland,Arpita,,Arpita Upadhyaya,1139602,1,good,TEACHER,PROFESSOR,5.0
Public Health,1270,University of Maryland,Amelia,,Arria,1866747,5,poor,TEACHER,PROFESSOR,2.4
Film,1270,University of Maryland,Luka,,Arsenjuk,2664047,1,good,TEACHER,PROFESSOR,5.0
Economics,1270,University of Maryland,Boragan,,Aruoba,727384,7,poor,TEACHER,PROFESSOR,2.2
Spanish,1270,University of Maryland,Victoria,Herrera,Arvay,2664828,2,good,TEACHER,PROFESSOR,5.0
Government,1270,University of Maryland,Stephen,,Arves,2314761,3,good,TEACHER,PROFESSOR,4.3
Leadership,1270,University of Maryland,Shakia,,Asamoah,2715389,1,good,TEACHER,PROFESSOR,5.0
Dance,1270,University of Maryland,Justin,Hunter,Ashby,2370069,1,poor,TEACHER,PROFESSOR,1.0
Communication,1270,University of Maryland,Drew,,Ashby-King,2686991,1,good,TEACHER,PROFESSOR,5.0
Business,1270,University of Maryland,Elie,,Ashery,2329910,5,good,TEACHER,PROFESSOR,4.0
Theater,1270,University of Maryland,Izumi,,Ashizawa,1627239,0,zero,TEACHER,PROFESSOR,N/A
Journalism,1270,University of Maryland,Karin,B,Assman,2482838,1,poor,TEACHER,PROFESSOR,2.0
Sociology,1270,University of Maryland,Zeynep,,Atalay,1148142,1,good,TEACHER,PROFESSOR,4.0
Art History,1270,University of Maryland,Renee,,Ater,1033181,7,good,TEACHER,PROFESSOR,3.8
Communication,1270,University of Maryland,Hagar,,Attia,2022562,8,good,TEACHER,PROFESSOR,4.8
Communication,1270,University of Maryland,Anita,,Atwell-Seate,1813970,7,good,TEACHER,PROFESSOR,3.8
English,1270,University of Maryland,John,,Auchard,216143,48,good,TEACHER,PROFESSOR,4.3
English,1270,University of Maryland,.,,Auerbach,478912,12,good,TEACHER,PROFESSOR,4.0
Criminal Justice,1270,University of Maryland,Megan,,Augustyn,1795303,3,average,TEACHER,PROFESSOR,2.7
Engineering,1270,University of Maryland,Mark,,Austin,784416,7,poor,TEACHER,PROFESSOR,2.1
English,1270,University of Maryland,John,,Auchard,216143,48,good,TEACHER,PROFESSOR,4.3
English,1270,University of Maryland,.,,Auerbach,478912,12,good,TEACHER,PROFESSOR,4.0
Criminal Justice,1270,University of Maryland,Megan,,Augustyn,1795303,3,average,TEACHER,PROFESSOR,2.7
Engineering,1270,University of Maryland,Mark,,Austin,784416,7,poor,TEACHER,PROFESSOR,2.1
English,1270,University of Maryland,GerShun,,Avilez,2494248,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1270,University of Maryland,Ahmet,,Aydilek,350146,17,poor,TEACHER,PROFESSOR,2.3
Biochemistry,1270,University of Maryland,.,,Ayers,998109,3,good,TEACHER,PROFESSOR,4.8
Engineering,1270,University of Maryland,Bilal,M.,Ayyub,2830844,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1270,University of Maryland,Shapour,,Azarm,325107,4,good,TEACHER,PROFESSOR,3.9
Psychology,1270,University of Maryland,Roger,,Azevedo,146734,9,average,TEACHER,PROFESSOR,3.4
Business,1270,University of Maryland,Yusuf,,Azizullah,1303255,1,good,TEACHER,PROFESSOR,4.5
Engineering,1270,University of Maryland,Behtash,,Babadi,2378460,2,good,TEACHER,PROFESSOR,5.0
Mechanical Engineering,1270,University of Maryland,Hesam,,Babahosseini,2477690,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1270,University of Maryland,Sam,,Bachhuber,2781436,1,poor,TEACHER,PROFESSOR,1.0
Physics,1270,University of Maryland,Andrew,,Baden,2326511,3,average,TEACHER,PROFESSOR,3.0
Mathematics,1270,University of Maryland,Hantaek,,Bae,1713784,3,average,TEACHER,PROFESSOR,3.0
Communication,1270,University of Maryland,Soyoung,,Bae,2091779,15,average,TEACHER,PROFESSOR,3.3
Engineering,1270,University of Maryland,Gregory,,Baecher,2643448,0,zero,TEACHER,PROFESSOR,N/A
Education,1270,University of Maryland,Briella,,Baer-Chen,2694205,1,good,TEACHER,PROFESSOR,5.0
Education,1270,University of Maryland,Peter,,Baggetta,1783686,1,good,TEACHER,PROFESSOR,4.5
Engineering,1270,University of Maryland,Seyed,,Bahari,1869565,1,average,TEACHER,PROFESSOR,3.0
English,1270,University of Maryland,Amanda,,Bailey,1820479,2,good,TEACHER,PROFESSOR,4.8
English,1270,University of Maryland,Deborah,,Bailin,305709,8,average,TEACHER,PROFESSOR,2.6
French,1270,University of Maryland,Mercedes ,,Baillargeon,1938835,3,good,TEACHER,PROFESSOR,4.0
Computer Science,1270,University of Maryland,Clifford,,Bakalian,2738496,2,good,TEACHER,PROFESSOR,3.5
Economics,1270,University of Maryland,Damyana,,Bakardzhieva,1246999,7,poor,TEACHER,PROFESSOR,1.8
English,1270,University of Maryland,.,,Baker,705657,10,good,TEACHER,PROFESSOR,4.1
Art,1270,University of Maryland,Rushern,,Baker,1838876,3,good,TEACHER,PROFESSOR,3.8
English,1270,University of Maryland,Benjamin,,Baker,2433115,42,good,TEACHER,PROFESSOR,4.5
Journalism,1270,University of Maryland,Stokely,,Baksh,2322401,0,zero,TEACHER,PROFESSOR,N/A
English,1270,University of Maryland,Sharada,,Balachandran,2215618,3,good,TEACHER,PROFESSOR,3.7
Mathematics,1270,University of Maryland,Steve,,Balady,2052373,21,average,TEACHER,PROFESSOR,3.4
Mathematics,1270,University of Maryland,Radu,,Balan,2512173,0,zero,TEACHER,PROFESSOR,N/A
Animal Science,1270,University of Maryland,Sarah,,Balcom,1629669,27,average,TEACHER,PROFESSOR,3.4
Women's Studies,1270,University of Maryland,Nat,,Baldino,2350221,2,good,TEACHER,PROFESSOR,5.0
Engineering,1270,University of Maryland,Andy,,Baldwin,273428,3,average,TEACHER,PROFESSOR,3.3
History,1270,University of Maryland,Melinda,,Baldwin,2782845,3,good,TEACHER,PROFESSOR,5.0
Government,1270,University of Maryland,Noa,,Balf,2480739,3,average,TEACHER,PROFESSOR,2.7
Psychology,1270,University of Maryland,Diksha,,Bali,2802147,0,zero,TEACHER,PROFESSOR,N/A
Agriculture,1270,University of Maryland,Rob,,Ballenger,2145831,14,good,TEACHER,PROFESSOR,4.0
Mathematics,1270,University of Maryland,Huanchen,,Bao,2311308,1,good,TEACHER,PROFESSOR,4.0
Engineering,1270,University of Maryland,Avi,,Bar Cohen,1624897,0,zero,TEACHER,PROFESSOR,N/A
Business,1270,University of Maryland,John,,Barbatto,2469568,0,zero,TEACHER,PROFESSOR,N/A
Philosophy,1270,University of Maryland,Charles,,Barclay,2284130,2,poor,TEACHER,PROFESSOR,1.5
Theater,1270,University of Maryland,Jennifer,,Barclay Newsham,2501069,1,poor,TEACHER,PROFESSOR,1.0
Business,1270,University of Maryland,Maria,,Bardossy,2505048,4,poor,TEACHER,PROFESSOR,2.0
Theater,1270,University of Maryland,Drew,,Barker,2543069,1,good,TEACHER,PROFESSOR,5.0
Information Science,1270,University of Maryland,Ray,,Barker,2576180,1,poor,TEACHER,PROFESSOR,2.0
Physics,1270,University of Maryland,Maissam,,Barkeshli,2311547,3,good,TEACHER,PROFESSOR,3.7
Women's Studies,1270,University of Maryland,Elsa,,Barkley Brown,2388238,1,poor,TEACHER,PROFESSOR,2.0
African-American Studies,1270,University of Maryland,Elsa,,Barkley Brown,1520834,8,good,TEACHER,PROFESSOR,3.7
English,1270,University of Maryland,Cathy,,Barks,7326,15,average,TEACHER,PROFESSOR,3.4
Education,1270,University of Maryland,Alison,,Barlow,2437751,2,good,TEACHER,PROFESSOR,4.5
Business,1270,University of Maryland,Wendy,,Barnes Bassett,2680472,3,poor,TEACHER,PROFESSOR,1.7
Communication,1270,University of Maryland,Timothy,,Barney,770155,12,good,TEACHER,PROFESSOR,4.6
Communication,1270,University of Maryland,JoEllen,,Barnhart,2083156,17,good,TEACHER,PROFESSOR,4.8
Information Science,1270,University of Maryland,Jason,,Baron,2655564,4,good,TEACHER,PROFESSOR,5.0
History,1270,University of Maryland,Sabrina,,Baron,924685,19,good,TEACHER,PROFESSOR,4.1
Engineering,1270,University of Maryland,Gregory,,Barr,2229867,2,good,TEACHER,PROFESSOR,5.0
Classics,1270,University of Maryland,Francisco,,Barrenechea,1821392,12,good,TEACHER,PROFESSOR,4.0
Public Health,1270,University of Maryland,Sharon,,Barrett,2230389,1,average,TEACHER,PROFESSOR,3.0
Family Studies,1270,University of Maryland,Patricia,,Barros,2472123,0,zero,TEACHER,PROFESSOR,N/A
Honors,1270,University of Maryland,Bria,,Barry ,1957267,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1270,University of Maryland,Sara,,Barth,2582563,1,good,TEACHER,PROFESSOR,5.0
Criminal Justice,1270,University of Maryland,Brad,,Bartholomew,1462464,0,zero,TEACHER,PROFESSOR,N/A
Spanish,1270,University of Maryland,Sebastian,,Bartis,1696719,2,good,TEACHER,PROFESSOR,5.0
English,1270,University of Maryland,Aaron,,Bartlett,2561192,1,poor,TEACHER,PROFESSOR,1.0
Engineering,1270,University of Maryland,Rajeev,,Barua,851732,3,good,TEACHER,PROFESSOR,3.7
Psychology,1270,University of Maryland,Steven,,Baruth,1140578,0,zero,TEACHER,PROFESSOR,N/A
Accounting,1270,University of Maryland,Progyan,,Basu,1180560,50,good,TEACHER,PROFESSOR,3.6
Music,1270,University of Maryland,Eliot,,Bates,1223586,4,good,TEACHER,PROFESSOR,3.6
Spanish,1270,University of Maryland,Cecilia,,Battauz,2599562,1,good,TEACHER,PROFESSOR,5.0
Education,1270,University of Maryland,Ann,,Battle,202083,14,good,TEACHER,PROFESSOR,4.8
Aerospace Studies,1270,University of Maryland,Olivier,,Bauchau,2467366,3,poor,TEACHER,PROFESSOR,1.0
English,1270,University of Maryland,Ralph,,Bauer,843391,8,good,TEACHER,PROFESSOR,3.5
Mathematics,1270,University of Maryland,Kate,,Bauer,1075996,5,poor,TEACHER,PROFESSOR,2.0
Urban Studies,1270,University of Maryland,Howell,,Baum,1446612,1,good,TEACHER,PROFESSOR,5.0
Political Science,1270,University of Maryland,Katherine,,Baxter,1319509,0,zero,TEACHER,PROFESSOR,N/A
Sociology,1270,University of Maryland,Amy,,Baxter,1910311,1,poor,TEACHER,PROFESSOR,1.0
Public Health,1270,University of Maryland,Allison,,Bayley,1762785,4,good,TEACHER,PROFESSOR,3.6
English,1270,University of Maryland,Catherine,,Bayly,1840421,14,good,TEACHER,PROFESSOR,3.8
Foreign Languages,1270,University of Maryland,Melda,,Baysal,1236623,2,good,TEACHER,PROFESSOR,5.0
Mechanical Engineering,1270,University of Maryland,Amr,,Baz,2738101,1,good,TEACHER,PROFESSOR,5.0
Public Health,1270,University of Maryland,Sara,,Bazaco,2452130,5,good,TEACHER,PROFESSOR,4.0
Health Science,1270,University of Maryland,Michael ,,Bazaco,2083960,3,good,TEACHER,PROFESSOR,4.7
Women's Studies,1270,University of Maryland,Mary-Elizabeth,,Bazemore,1201493,6,good,TEACHER,PROFESSOR,5.0
Sociology,1270,University of Maryland,Michelle,,Beadle,1122336,6,poor,TEACHER,PROFESSOR,2.0
Biology,1270,University of Maryland,George,,Bean,2052740,0,zero,TEACHER,PROFESSOR,N/A
Kinesiology,1270,University of Maryland,Jeff,,Beans,2587843,6,average,TEACHER,PROFESSOR,3.0
English,1270,University of Maryland,Elizabeth,,Bearden,979143,9,good,TEACHER,PROFESSOR,3.8
English,1270,University of Maryland,Joanna,,Beatty,524926,5,poor,TEACHER,PROFESSOR,2.0
English,1270,University of Maryland,Steve,,Beaulieu,2436252,3,good,TEACHER,PROFESSOR,4.7
Public Health,1270,University of Maryland,Kenneth,,Beck,883517,3,good,TEACHER,PROFESSOR,3.5
Biochemistry,1270,University of Maryland,Dorthy,,Beckett,1887923,1,average,TEACHER,PROFESSOR,3.0
Aerospace Studies,1270,University of Maryland,Andrew,,Becnel,2569481,4,good,TEACHER,PROFESSOR,3.5
Physics,1270,University of Maryland,Paulo,,Bedaque,1057044,6,good,TEACHER,PROFESSOR,4.2
Mathematics,1270,University of Maryland,Corry,,Bedwell,2269642,2,average,TEACHER,PROFESSOR,3.0
Journalism,1270,University of Maryland,William,,Beecher,1401158,2,good,TEACHER,PROFESSOR,4.5
Germanic & Russian Studies,1270,University of Maryland,Peter,,Beicken,1220655,3,good,TEACHER,PROFESSOR,4.8
Psychology,1270,University of Maryland,Jonathan,,Beier,2559630,1,good,TEACHER,PROFESSOR,5.0
Engineering,1270,University of Maryland,Tom,,Beigel,490068,44,good,TEACHER,PROFESSOR,4.6
English,1270,University of Maryland,Hannah,,Beilenson,2651321,1,good,TEACHER,PROFESSOR,5.0
Kinesiology,1270,University of Maryland,Adam,,Beissel,1832535,6,good,TEACHER,PROFESSOR,4.6
Social Work,1270,University of Maryland,John,,Belcher,1617102,1,good,TEACHER,PROFESSOR,5.0
Architecture,1270,University of Maryland,Matthew,,Bell,139258,2,average,TEACHER,PROFESSOR,3.0
History,1270,University of Maryland,Richard,,Bell,940293,36,good,TEACHER,PROFESSOR,4.0
Biology,1270,University of Maryland,Alexandra,,Bely,2088852,5,good,TEACHER,PROFESSOR,4.0
History,1270,University of Maryland,Herman,,Belz,592440,6,average,TEACHER,PROFESSOR,2.8
Art,1270,University of Maryland,Mollye,,Bendell,2679812,1,good,TEACHER,PROFESSOR,5.0
American Studies,1270,University of Maryland,Molly,,Benitez,2505282,1,good,TEACHER,PROFESSOR,5.0
Spanish,1270,University of Maryland,Carmen,,Benito-Vessels,803945,13,average,TEACHER,PROFESSOR,2.8
History,1270,University of Maryland,Alda,,Benjamin,1334957,1,good,TEACHER,PROFESSOR,5.0
Biology,1270,University of Maryland,Nelson,,Bennett,2837374,0,zero,TEACHER,PROFESSOR,N/A
Biology,1270,University of Maryland,Spencer,,Benson,1345264,12,poor,TEACHER,PROFESSOR,1.4
Bioengineering,1270,University of Maryland,Eric,,Bentley,1144307,0,zero,TEACHER,PROFESSOR,N/A
Bioengineering,1270,University of Maryland,William,,Bentley,1963854,1,poor,TEACHER,PROFESSOR,1.5
Economics,1270,University of Maryland,Ariel,,Benyishay,1119905,3,good,TEACHER,PROFESSOR,4.2
Jewish Studies,1270,University of Maryland,Yuval,,Benziman,1518524,3,good,TEACHER,PROFESSOR,4.5
Animal Science,1270,University of Maryland,Brian,,Bequette,1001681,5,good,TEACHER,PROFESSOR,4.5
Physics,1270,University of Maryland,Richard,,Berg,566149,11,good,TEACHER,PROFESSOR,4.2
History,1270,University of Maryland,Alda,,Benjamin,1334957,1,good,TEACHER,PROFESSOR,5.0
Journalism,1270,University of Maryland,Abbie,,Bennett,2753935,1,good,TEACHER,PROFESSOR,5.0
Biology,1270,University of Maryland,Nelson,,Bennett,2837374,0,zero,TEACHER,PROFESSOR,N/A
Biology,1270,University of Maryland,Spencer,,Benson,1345264,12,poor,TEACHER,PROFESSOR,1.4
Bioengineering,1270,University of Maryland,Eric,,Bentley,1144307,0,zero,TEACHER,PROFESSOR,N/A
Bioengineering,1270,University of Maryland,William,,Bentley,1963854,1,poor,TEACHER,PROFESSOR,1.5
